filer_name	ID	filer_description
Adamson, Jessica|Friends of Jessica Adamson	12510	Director, Sherwood School District, Position 1|Nonpartisan
Alliance - PAC	4797	Miscellaneous
American Federation of Teachers-Oregon Candidate PAC	113	Miscellaneous
Anthony, Paul|Paul Anthony for Portland School Board	17119	Director, Portland School District, Zone 2|Nonpartisan
Avent, Mike|Committee to Elect Mike Avent	8687	Commissioner, Port of St. Helens, Position 2|Nonpartisan
Axelrod, Russell|Committee to Re-elect Mayor Axelrod	17068	Mayor, City of West Linn|Nonpartisan
Baker County Republican Central Committee	290	Political Party|Republican
Barman, Bob|Barman4LOSD	14984	Director, Lake Oswego School District, Position 5|Nonpartisan
Batchelor, Kim|Batchelor for Board PAC	17360	Director, Marion County Fire District, Position 2|Nonpartisan
Beach, Andrew|Friends of Andrew Beach	17361	Director, Beaverton School District, Zone 7|Nonpartisan
Beaudoin, Stephen|Friends of Stephen Marc Beaudoin	17342	Director, Multnomah Education Service District, Position 6, At-Large|Nonpartisan
Beyer, Lee|Friends of Lee Beyer	14049	State Senator, 6th District|Democrat
Brouse, Renee|Friends of Renee for city council	17275	City Councilor, City of Sherwood, Position 1|Nonpartisan
Brown, Julie|Friends of Julie Esparza Brown	17266	Director, Portland School District, Zone 1|Nonpartisan
Buckley, John|John Buckley for North Bend School Board	17410	Director, North Bend School District #13, Position 7, Zone 7|Nonpartisan
Building Trades PAC	12845	Miscellaneous
Burke, Richard|Friends of Richard Burke	15082	Commissioner, Tualatin Valley Water Board, Position 4|Nonpartisan
Burke, Siobhan|Friends of Siobhan Burke	17351	Director, Multnomah Education Service District, Position 7, SE/SW Portland Zone|Nonpartisan
Caballero, Lilia|Committee to Elect Lilia Caballero	17352	Director, Medford School District, Position 7|Nonpartisan
Cameron, Kevin|Kevin Cameron for Oregon	5089	County Commissioner, Marion County, Position 1|Republican
Capitol Watch Issues Committee	17553	Miscellaneous
Capitol Watch Political Action Committee	17245	Miscellaneous
Carrasco, Philip|Friends of Phil Carrasco	17262	Director, Lane Community College, Zone 5|Nonpartisan
Citizens For a Better Philomath	17591	Miscellaneous
Citizens for a Safe Community	6106	Measure|Supports Measure 34-236 - 2015|Supports Measure 34-272 - 2017
Citizens for a Safer Albany	15496	Measure|Supports Measure 22-156 - 2016
Citizens for Millersburg City Power	17445	Measure|Supports Measure 22-137 - 2015
Citizens for Safe Reynolds Schools	17304	Measure|Supports Measure 26-164 - 2015
Citizens for Sweet Home Police & Library Services	17523	Measure|Supports Measure 22-138 - 2015|Supports Measure 22-139 - 2015
Clackamas County Democratic Central Committee	293	Political Party|Democrat
Committee for Sustainable Cornelius Fire Services	17313	Measure|Supports Measure 34-234 - 2015
Communities of Color for a Just Oregon	16131	Miscellaneous
Coos County Alliance for Progress	15567	Miscellaneous
Create Jobs PAC	7846	Measure
Credit Union Legislative Action Fund	51	Miscellaneous
Cronin, Kevin|Buddies for Kevin Cronin	17345	Director, Eugene School District, Position 5|Nonpartisan
Davidson, Andrew|Friends of Andrew Davidson	17242	Director, Portland School District, Zone 1|Nonpartisan
DeShazer, Colleen|Committee To Elect DeShazer	8667	Commissioner, Port of St. Helens, Position 3|Nonpartisan
Devlin, Richard|Friends of Richard Devlin	1670	State Senator, 19th District|Democrat
Ericksen, Larry|Ericksen For Oregon	16983	Commissioner, Port of St. Helens, Position 3|Nonpartisan
Eugene Education Association - PAC	59	Miscellaneous
Fell, Foster|Fell for Parks	17418	Director, Bend Metro Park & Recreation District, Position 1|Nonpartisan
Fish, Nick|Nick Fish for City Council	5709	City Commissioner, City of Portland, Position 2|Nonpartisan
Fishkin, Daniel|Dan Fishkin For Parks	17405	Director, Bend Metro Park & Recreation District, Position 1|Nonpartisan
French, Tina|Tina M French	17328	Director, Devils Lake Water Improvement District, Position 2|Nonpartisan
Friends of Keizer Fire District PAC	13418	Measure|Supports Measure 24-389 - 2015
Friends of Marcola	17373	Measure|Supports Measure 20-232 - 2015
